member_id,name,email,phone,tier,join_date,churn_date,age,city,gender
M0000,Lisa Friedman,douglas82@example.net,971.243.0803x118,basic,2023-10-17,2024-05-04,26,South Jostad,Other
M0001,Raymond Glenn,martinezamber@example.org,001-373-427-7917,premium,2022-04-15,,23,East Marybury,Other
M0002,Barbara Richards,mbaxter@example.net,407-893-0909x807,basic,2023-03-09,2023-06-24,50,New Michaelbury,Other
M0003,Matthew Watkins,jason98@example.org,(820)705-7589x244,standard,2022-01-28,,62,New Edwardport,Other
M0004,Benjamin Freeman,khardy@example.org,282-205-4833,basic,2023-03-06,2024-03-01,18,Joneshaven,M
M0005,Angela Glenn,trevor25@example.com,293.955.0602x67921,basic,2023-12-16,,31,Port Nicholas,F
M0006,Robin Hill,jessica82@example.com,001-694-270-3211x11031,basic,2022-04-15,2022-08-02,40,East Williammouth,Other
M0007,Rhonda Mason,benjaminmills@example.net,001-276-884-0333x13848,standard,2022-09-28,,52,North Joshua,M
M0008,Rachael Butler,brianpugh@example.org,361.406.1236,premium,2023-01-23,2023-08-21,57,New Audrey,F
M0009,Shelly Wang,jon17@example.com,(338)916-5583,basic,2023-08-15,2023-11-18,32,North Joseph,F
M0010,Noah Rush,lovealison@example.com,691.375.5138x277,premium,2022-03-23,,42,Port Matthew,F
M0011,Rebecca Miller,rgibbs@example.org,(963)487-9434x813,basic,2023-04-10,,41,Port Shaunborough,F
M0012,Ann Duffy,christopher06@example.org,578.601.1329x5805,standard,2022-08-03,,61,Port Brittany,Other
M0013,Karl Davis,andrew48@example.com,001-944-284-1231x4557,basic,2022-03-15,,64,Lorishire,M
M0014,Lindsey Baker,marcia93@example.net,969-856-8007,basic,2022-06-17,,58,Briantown,Other
M0015,Jennifer Torres,rodgersjames@example.org,7474456922,premium,2023-07-25,2024-03-07,21,South Dorismouth,M
M0016,Jason Adams,gcharles@example.org,693.837.6249x30553,basic,2022-02-02,,22,Lake Deborahside,M
M0017,Stacey Fisher,amyhunt@example.org,(713)512-3215x34012,basic,2023-08-04,,59,Lake Timothy,F
M0018,Laura Chavez,carpenterfrank@example.com,+1-633-270-0457x65408,standard,2023-02-10,,27,Micheleport,F
M0019,Michael Mclean,rachel65@example.org,001-790-430-1519,standard,2022-05-23,2023-05-05,65,Brownville,Other
M0020,Stephanie Hayden,briley@example.com,001-672-906-5829x742,basic,2023-03-15,,32,Skinnerbury,M
